_id,titulo,anio_salida,autor,id_imagen_portada
lg_tfm_01,Bad Romance,2009,Lady Gaga,images/lady_gaga_the_fame_monster.jpg
lg_tfm_02,Alejandro,2009,Lady Gaga,images/lady_gaga_the_fame_monster.jpg
lg_tfm_03,Telephone,2009,Lady Gaga,images/lady_gaga_the_fame_monster.jpg
lg_tfm_04,Monster,2009,Lady Gaga,images/lady_gaga_the_fame_monster.jpg
lg_tfm_05,So Happy I Could Die,2009,Lady Gaga,images/lady_gaga_the_fame_monster.jpg
