_id,titulo,anio_salida,autor,id_imagen_portada
iq_sen_01,Que Lloren,2007,Ivy Queen,images/ivy_queen_sentimiento.jpg
iq_sen_02,En Que Fallamos,2007,Ivy Queen,images/ivy_queen_sentimiento.jpg
iq_sen_03,Papi Te Quiero,2007,Ivy Queen,images/ivy_queen_sentimiento.jpg
